City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saldanha,0,PT,1561683158,75,41.42,-6.55,63.91,3.22
puerto penasco,0,MX,1561683158,49,31.32,-113.53,84.99,5.99
rikitea,100,PF,1561683159,83,-23.12,-134.97,75.37,16.22
jamestown,0,AU,1561683159,60,-33.21,138.6,61.84,16.58
east london,0,ZA,1561683084,26,-33.02,27.91,62.09,5.95
saint-philippe,20,CA,1561683160,53,45.36,-73.48,75.99,10.29
torbay,90,CA,1561683160,93,47.66,-52.73,51.01,2.24
porbandar,72,IN,1561683160,84,21.64,69.61,83.71,17.43
saint george,0,GR,1561683010,64,39.45,22.34,75,3.31
magole,5,TZ,1561683161,77,-6.37,37.37,57.37,2.86
barrow,100,AR,1561683161,59,-38.31,-60.23,48.81,16.11
mwense,0,ZM,1561683161,61,-10.39,28.7,53.54,4.65
punta arenas,0,CL,1561682977,79,-53.16,-70.91,26.6,11.41
butaritari,0,KI,1561683161,68,3.07,172.79,84.18,10.42
margate,75,AU,1561683043,58,-43.03,147.26,60.01,11.41
tubuala,40,PA,1561683162,88,9.52,-79.03,78.8,5.82
mahebourg,75,MU,1561683162,88,-20.41,57.7,71.6,11.41
kabinda,30,CD,1561683162,43,-6.14,24.49,72.57,0.11
lerwick,100,GB,1561683162,93,60.15,-1.15,51.8,4.7
nizhneyansk,,,,,,,,
svetlaya,100,RU,1561683163,91,46.54,138.33,47.47,3.18
cidreira,0,BR,1561683163,88,-30.17,-50.22,60.15,11.65
puerto ayora,0,EC,1561683163,69,-0.74,-90.35,77,13.87
hermanus,93,ZA,1561683163,96,-34.42,19.24,52,11.01
barentsburg,,,,,,,,
obzor,0,BG,1561683164,78,42.82,27.88,75,6.93
cape town,75,ZA,1561682977,93,-33.93,18.42,57.99,14.99
north bend,1,US,1561683164,72,43.41,-124.22,63,14.99
gondar,0,PT,1561683164,93,41.82,-8.78,61,6.44
bluff,46,AU,1561683164,66,-23.58,149.07,66.45,22.5
kruisfontein,0,ZA,1561683164,19,-34,24.73,54.4,10.63
nikolskoye,90,RU,1561683165,93,59.7,30.79,55.99,11.18
ushuaia,40,AR,1561683142,92,-54.81,-68.31,28.4,16.11
hobart,75,AU,1561683165,58,-42.88,147.33,60.01,11.41
mar del plata,7,AR,1561683165,46,-46.43,-67.52,31,9.28
george town,75,MY,1561683165,88,5.42,100.33,80.6,1.12
samarai,78,PG,1561683166,92,-10.62,150.67,77.88,7.25
souillac,0,FR,1561683008,74,45.6,-0.6,78.8,3.36
portland,90,US,1561682464,88,43.66,-70.25,70,4.7
boma,77,GH,1561683166,99,7.08,-2.17,70.59,3.13
huarmey,16,PE,1561683166,88,-10.07,-78.15,63.57,16.98
mataura,10,NZ,1561683166,77,-46.19,168.86,52,3
bambous virieux,75,MU,1561682968,88,-20.34,57.76,71.6,11.41
puerto colombia,75,CO,1561683167,78,10.99,-74.96,82.4,10.29
veraval,0,FR,1561683167,63,49.65,0.71,66.2,16.11
vaini,75,IN,1561683167,100,15.34,74.49,69.8,5.82
albany,1,US,1561683004,56,42.65,-73.75,78.8,4.7
taolanaro,,,,,,,,
acarau,,,,,,,,
yellowknife,40,CA,1561683168,29,62.45,-114.38,62.6,5.82
guia de isora,90,ES,1561683168,87,28.21,-16.78,71.6,12.75
clyde river,1,CA,1561683168,49,70.47,-68.59,48.2,21.92
nokaneng,0,BW,1561683168,50,-19.66,22.19,57.19,7.63
grand gaube,75,MU,1561683047,88,-20.01,57.66,71.6,11.41
ongandjera,0,NA,1561683169,34,-17.88,15.07,59.53,6.96
hilo,90,US,1561683169,69,19.71,-155.08,86,9.17
mola di bari,0,IT,1561683169,64,41.06,17.09,78.01,5.82
new norfolk,75,AU,1561683169,58,-42.78,147.06,60.01,11.41
srednekolymsk,99,RU,1561683032,41,67.46,153.71,58.54,14.72
rurrenabaque,95,BO,1561683170,96,-14.44,-67.53,65.19,1.45
kapaa,90,US,1561682989,83,22.08,-159.32,80.6,8.05
bilibino,100,RU,1561683170,85,68.06,166.44,44.83,3.06
port elizabeth,1,US,1561683170,74,39.31,-74.98,86,3.36
elat,91,CM,1561683170,93,2.91,11.16,69.15,2.62
launceston,97,AU,1561683171,76,-41.43,147.14,54,12.75
aras,17,ES,1561683171,28,42.56,-2.36,84.2,9.17
los llanos de aridane,75,ES,1561683171,68,28.66,-17.92,71.6,14.99
sitka,0,US,1561682988,54,37.17,-99.65,86,11.01
padang,60,ID,1561683171,75,-0.92,100.36,82.2,5.41
desnogorsk,82,RU,1561683171,96,54.15,33.29,55.12,14.38
mountain home,75,US,1561682990,14,43.13,-115.69,80.6,13.87
illoqqortoormiut,,,,,,,,
higuey,,,,,,,,
salalah,75,OM,1561683172,88,17.01,54.1,80.6,10.29
touros,75,BR,1561683172,94,-5.2,-35.46,75.2,4.7
mandalgovi,97,MN,1561683172,80,45.76,106.27,49.09,19.75
beringovskiy,86,RU,1561683173,65,63.05,179.32,51.2,9.08
hithadhoo,100,MV,1561682926,64,-0.6,73.08,84.57,4.03
teguise,20,ES,1561683173,73,29.06,-13.56,71.6,10.29
nanortalik,98,GL,1561683173,98,60.14,-45.24,37.74,3.31
male,0,UA,1561683173,92,50.74,33.7,58.72,15.14
ribeira grande,50,PT,1561683173,72,38.52,-28.7,64.16,12.12
muisne,18,EC,1561683174,84,0.61,-80.02,76.42,15.7
darab,33,IR,1561683174,32,28.75,54.55,71.14,2.66
san cristobal,8,HN,1561683038,59,14.68,-86.92,75.34,7.65
geraldton,75,CA,1561683174,43,49.72,-86.95,73.4,5.82
kisangani,100,CD,1561683174,99,0.52,25.21,68.05,2.51
mahibadhoo,37,MV,1561683175,73,3.78,72.97,83.42,6.82
jatiroto,60,ID,1561683175,84,-7.61,109.46,71.65,3.47
college,75,US,1561683175,33,64.86,-147.8,78.8,1.88
mount gambier,75,AU,1561683175,62,-37.83,140.78,59,14.99
tekirdag,0,TR,1561683175,88,40.98,27.51,66.2,4.7
khatanga,80,RU,1561683176,62,71.98,102.47,61.32,2.28
busselton,7,AU,1561683176,98,-33.64,115.35,44.01,22.17
san vicente,20,EC,1561683176,73,-0.59,-80.41,77,11.41
tazovskiy,0,RU,1561683176,77,67.47,78.7,41.39,7.99
stornoway,,,,,,,,
pano aqil,0,PK,1561683177,66,27.86,69.11,87.8,10.16
victoria,75,BN,1561683048,83,5.28,115.24,80.6,2.24
laiagam,,,,,,,,
pacific grove,1,US,1561683177,49,36.62,-121.92,75,14.99
nakhon phanom,99,LA,1561683177,83,17.4,104.79,78.63,4.68
umzimvubu,,,,,,,,
duzici,,,,,,,,
richards bay,0,ZA,1561683181,63,-28.77,32.06,70.44,24.58
qaqortoq,62,GL,1561683034,70,60.72,-46.03,48.2,5.82
tsabong,0,BW,1561683181,38,-26.02,22.4,59.05,15.12
deputatskiy,0,RU,1561683181,24,69.3,139.9,67.06,5.06
vaitupu,,,,,,,,
sarnia,1,CA,1561682963,60,42.99,-82.38,81,4.72
tsihombe,,,,,,,,
buala,97,SB,1561683012,74,-8.15,159.59,83.49,8.03
barbar,,,,,,,,
lasa,75,CY,1561683182,83,34.92,32.53,75.2,5.82
verkhnebakanskiy,0,RU,1561683182,93,44.84,37.66,60.8,6.71
lompoc,1,US,1561683021,63,34.64,-120.46,77,16.11
qaanaaq,18,GL,1561683182,51,77.48,-69.36,43.26,3.62
airai,0,TL,1561683183,58,-8.93,125.41,72.69,3.22
puerto ayacucho,40,CO,1561683183,62,5.66,-67.63,86,8.23
hofn,100,IS,1561683183,94,64.25,-15.21,44.83,2.37
mocambique,,,,,,,,
carnarvon,0,ZA,1561682946,27,-30.97,22.13,46.39,14.29
amderma,,,,,,,,
kodiak,1,US,1561683183,40,39.95,-94.76,86,8.05
lebu,40,ET,1561683184,93,8.96,38.73,57.2,4.7
udachnyy,75,RU,1561683184,52,66.42,112.4,66.2,2.24
atuona,8,PF,1561683184,73,-9.8,-139.03,80.94,13.4
treinta y tres,50,UY,1561683184,84,-33.23,-54.39,44.16,6.78
yar-sale,34,RU,1561683185,62,66.83,70.83,49.53,8.05
belushya guba,,,,,,,,
narsaq,62,GL,1561683185,70,60.91,-46.05,48.2,5.82
issia,33,CI,1561683185,97,6.49,-6.58,72.08,4.45
saint-pierre,0,FR,1561683185,82,48.95,4.24,75.2,9.17
ardakan,40,IR,1561683185,12,32.31,54.02,91.4,9.17
luderitz,0,NA,1561682974,93,-26.65,15.16,48.2,2.24
san patricio,51,PY,1561683186,87,-26.98,-56.83,63.75,10
mitu,0,IR,1561683186,51,36.2,46.09,65.11,5.1
port alfred,0,ZA,1561683186,32,-33.59,26.89,66,3
nadym,37,RU,1561683186,71,65.53,72.51,47.74,6.35
johnstown,1,US,1561683187,83,40.33,-78.92,77,3.36
saskylakh,100,RU,1561683187,37,71.97,114.09,56.89,9.19
genhe,7,CN,1561683187,55,50.78,121.52,61.78,10.13
olinda,0,AU,1561683187,62,-37.84,145.39,62.01,24.16
